[2022-11-16 23:08:49,558] DEBUG - creating thumbnail..
[2022-11-16 23:09:00,022] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:00,023] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:00,023] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:00,023] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:00,023] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:00,023] DEBUG - STREAM b'IDAT' 119 11861
[2022-11-16 23:09:00,024] DEBUG - STREAM b'tEXt' 11992 37
[2022-11-16 23:09:00,024] DEBUG - STREAM b'tEXt' 12041 37
[2022-11-16 23:09:00,024] DEBUG - STREAM b'tEXt' 12090 40
[2022-11-16 23:09:00,024] DEBUG - STREAM b'tEXt' 12142 27
[2022-11-16 23:09:00,026] DEBUG - transcribing audio file in path scripts\V2h5IEFsZ29yaXRobXMgTWF0dGVyIGluIE1hY2hpbmUgTGVhcm5pbmc\audio\audio-1.wav
[2022-11-16 23:09:03,431] DEBUG - start, 0.0, end, 3.84, text,  An algorithm is a set of instructions for performing a task.
[2022-11-16 23:09:03,431] DEBUG - start, 3.84, end, 10.84, text,  In computer science, algorithms are used for everything from sorting data to solving complex mathematical problems.
[2022-11-16 23:09:03,525] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:03,525] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:03,525] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:03,525] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:03,525] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:03,525] DEBUG - STREAM b'IDAT' 119 19218
[2022-11-16 23:09:03,527] DEBUG - STREAM b'tEXt' 19349 37
[2022-11-16 23:09:03,527] DEBUG - STREAM b'tEXt' 19398 37
[2022-11-16 23:09:03,527] DEBUG - STREAM b'tEXt' 19447 40
[2022-11-16 23:09:03,527] DEBUG - STREAM b'tEXt' 19499 66
[2022-11-16 23:09:03,649] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:03,649] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:03,649] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:03,649] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:03,649] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:03,649] DEBUG - STREAM b'IDAT' 119 32768
[2022-11-16 23:09:03,651] DEBUG - STREAM b'tEXt' 38550 37
[2022-11-16 23:09:03,651] DEBUG - STREAM b'tEXt' 38599 37
[2022-11-16 23:09:03,651] DEBUG - STREAM b'tEXt' 38648 40
[2022-11-16 23:09:03,651] DEBUG - STREAM b'tEXt' 38700 121
[2022-11-16 23:09:04,377] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:04,377] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:04,377] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:04,377] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:04,378] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:04,378] DEBUG - STREAM b'IDAT' 119 16679
[2022-11-16 23:09:04,378] DEBUG - STREAM b'tEXt' 16810 37
[2022-11-16 23:09:04,379] DEBUG - STREAM b'tEXt' 16859 37
[2022-11-16 23:09:04,379] DEBUG - STREAM b'tEXt' 16908 40
[2022-11-16 23:09:04,379] DEBUG - STREAM b'tEXt' 16960 39
[2022-11-16 23:09:04,380] DEBUG - transcribing audio file in path scripts\V2h5IEFsZ29yaXRobXMgTWF0dGVyIGluIE1hY2hpbmUgTGVhcm5pbmc\audio\audio-3.wav
[2022-11-16 23:09:04,915] DEBUG - start, 0.0, end, 5.4, text,  There are many different types of algorithms, but some of the most common include sorting,
[2022-11-16 23:09:04,915] DEBUG - start, 5.4, end, 32.4, text,  and pattern matching algorithms.
[2022-11-16 23:09:05,027] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:05,027] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:05,027] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:05,027] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:05,027] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:05,027] DEBUG - STREAM b'IDAT' 119 27980
[2022-11-16 23:09:05,029] DEBUG - STREAM b'tEXt' 28111 37
[2022-11-16 23:09:05,029] DEBUG - STREAM b'tEXt' 28160 37
[2022-11-16 23:09:05,029] DEBUG - STREAM b'tEXt' 28209 40
[2022-11-16 23:09:05,029] DEBUG - STREAM b'tEXt' 28261 96
[2022-11-16 23:09:05,122] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:05,122] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:05,122] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:05,123] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:05,123] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:05,123] DEBUG - STREAM b'IDAT' 119 10697
[2022-11-16 23:09:05,124] DEBUG - STREAM b'tEXt' 10828 37
[2022-11-16 23:09:05,124] DEBUG - STREAM b'tEXt' 10877 37
[2022-11-16 23:09:05,124] DEBUG - STREAM b'tEXt' 10926 40
[2022-11-16 23:09:05,124] DEBUG - STREAM b'tEXt' 10978 38
[2022-11-16 23:09:05,844] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:05,844] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:05,844] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:05,844] DEBUG - STREAM b'bKGD' 101 6
